WVHT,DPD,APD,MWD,WTMP,time_sin
1.6,13,9.9,329,29.4,-0.707106781
1.6,13,10,322,29.4,-0.79335334
1.7,14,10.6,331,29.3,-0.866025404
1.9,13,11.2,328,29.2,-0.923879533
1.6,13,10.2,333,29.2,-0.965925826
1.8,13,10.8,326,29.2,-0.991444861
1.7,14,10.6,328,29.2,-1
1.8,13,10.6,315,29.2,-0.991444861
1.7,14,10.2,337,29.2,-0.965925826
1.5,15,10,343,29.2,-0.923879533
1.8,14,10.8,333,29.2,-0.866025404
1.8,15,11.1,338,29.2,-0.79335334
1.9,15,11.3,337,29.3,-0.707106781
2,14,11.5,336,29.3,-0.608761429
1.8,15,11.2,342,29.3,-0.5
1.9,15,11.3,348,29.3,-0.382683432
2,14,11.7,333,29.3,-0.258819045
1.9,14,11.4,335,29.3,-0.130526192
1.9,15,11.2,344,29.3,1.22E-16
2.1,15,11.5,342,29.4,0.130526192
1.9,15,11.3,340,29.4,0.258819045
1.8,14,11.1,337,29.4,0.382683432
2,15,11.6,335,29.4,0.5
2,15,11.8,339,29.4,0.608761429
1.9,14,11.5,339,29.4,0.707106781
2.1,15,12,330,29.4,0.79335334
2,15,11.6,332,29.4,0.866025404
2,14,11.3,329,29.5,0.923879533
1.8,13,10.9,320,29.5,0.965925826
1.9,15,11.4,331,29.5,0.991444861
2.1,14,11.7,325,29.6,1
1.7,14,10.8,333,29.7,0.991444861
2,15,11.4,335,29.8,0.965925826
2.1,15,11.5,326,29.9,0.923879533
1.9,15,11,337,29.9,0.866025404
1.9,15,11.4,331,29.9,0.79335334
2.3,14,12,323,29.7,0.707106781
2,17,11.2,333,29.7,0.608761429
2.1,15,11.3,331,29.7,0.5
2.2,14,11.5,324,29.6,0.382683432
2.1,13,10.9,331,29.6,0.258819045
2.2,13,10.9,321,29.5,0.130526192
2.3,15,11.5,332,29.4,0
2,14,10.9,318,29.4,-0.130526192
2.1,14,11.2,319,29.4,-0.258819045
2.2,14,11.3,316,29.3,-0.382683432
2.2,15,11.4,328,29.4,-0.5
2.1,15,11.5,331,29.4,-0.608761429
2,15,11.6,324,29.4,-0.707106781
2.1,15,11.6,322,29.4,-0.79335334
2,14,11.2,325,29.3,-0.866025404
1.8,14,10.8,305,29.2,-0.923879533
1.7,15,10.8,323,29.1,-0.965925826
1.8,15,11,323,29.1,-0.991444861
1.9,15,11.6,332,29.1,-1
1.9,17,11.3,332,29.1,-0.991444861
2,15,11.1,327,29.1,-0.965925826
1.7,15,10,333,29.1,-0.923879533
2.1,15,11.2,323,29.1,-0.866025404
2,15,10.8,321,29.2,-0.79335334
2.4,15,11.6,333,29.2,-0.707106781
2.1,15,10.5,323,29.2,-0.608761429
2.2,15,10.9,328,29.3,-0.5
2.4,15,10.9,327,29.2,-0.382683432
2,15,10.4,322,29.3,-0.258819045
2.2,15,10.6,327,29.4,-0.130526192
2,15,10.4,334,29.4,1.22E-16
2.2,15,11.4,330,29.5,0.130526192
2.1,15,10.9,331,29.5,0.258819045
2.1,15,11.2,334,29.5,0.382683432
2.1,17,11.3,331,29.6,0.5
2.2,17,11.2,326,29.6,0.608761429
1.8,15,10.1,333,29.7,0.707106781
2.1,17,11.6,324,29.7,0.79335334
2,17,11.1,321,29.8,0.866025404
2,15,11.4,320,29.8,0.923879533
2,17,11.8,323,29.9,0.965925826
1.7,15,10.8,314,30,0.991444861
1.8,15,11.4,314,30,1
1.9,17,11.9,331,29.9,0.991444861
1.7,17,11.4,324,29.9,0.965925826
1.8,15,11.4,309,30.1,0.923879533
1.7,17,11.3,321,30.2,0.866025404
2,17,12.1,315,30.4,0.79335334
1.8,17,11.9,319,30.4,0.707106781
1.9,17,11.9,327,30.3,0.608761429
2,17,12.5,322,30.5,0.5
1.9,17,12.3,320,30.5,0.382683432
1.9,17,12.4,326,30.5,0.258819045
1.9,17,12.1,318,30.4,0.130526192
1.9,17,12.5,319,30.5,0
1.9,17,12.7,325,30.6,-0.130526192
2,17,12.9,318,30.5,-0.258819045
1.7,17,12.4,327,30.4,-0.382683432
1.9,17,13.2,323,30,-0.5
1.9,17,13.2,326,29.6,-0.707106781
2.1,18,14.1,322,29.4,-0.79335334
1.7,18,12.5,324,29.3,-0.866025404
1.6,18,12.3,323,29.3,-0.923879533
1.7,18,12.9,318,29.3,-0.965925826
1.4,18,11.6,327,29.3,-0.991444861
1.9,18,13.7,317,29.3,-1
1.6,18,12.1,318,29.3,-0.991444861
1.5,18,11.7,319,29.3,-0.965925826
1.6,18,12.1,320,29.3,-0.923879533
1.5,18,12.3,326,29.3,-0.866025404
1.4,18,11.6,324,29.3,-0.79335334
1.6,18,12.1,325,29.2,-0.707106781
1.6,18,11.9,325,29.3,-0.608761429
1.7,18,12.5,328,29.3,-0.5
1.4,18,11.1,320,29.4,-0.382683432
1.5,18,11.7,325,29.4,-0.258819045
1.4,18,11.4,323,29.4,-0.130526192
1.7,18,12.7,324,29.4,1.22E-16
1.5,18,11,324,29.4,0.130526192
1.5,18,11.8,324,29.5,0.258819045
1.5,18,11.8,324,29.5,0.382683432
1.5,18,11.1,326,29.4,0.5
1.5,18,11.3,323,29.5,0.608761429
1.7,18,12.3,328,29.6,0.707106781
1.8,20,12.7,327,29.7,0.79335334
1.4,20,10.6,318,29.8,0.866025404
1.6,20,11.7,326,29.8,0.923879533
1.5,20,11.4,325,29.8,0.965925826
1.4,20,10.6,322,29.9,0.991444861
1.5,20,10.4,321,30,1
1.4,13,9.7,340,30.1,0.991444861
1.3,20,9.4,317,30.1,0.965925826
1.2,14,8.6,344,29.9,0.923879533
1.4,20,9.8,323,30.1,0.866025404
1.5,20,10.2,318,30.1,0.79335334
1.4,14,9.3,340,30.2,0.707106781
1.3,14,8.9,340,30.2,0.608761429
1.3,14,8.8,345,30.2,0.5
1.4,20,9.6,320,30.1,0.382683432
1.3,14,8.6,347,30.1,0.258819045
1.3,14,9.4,343,30.2,0.130526192
1.4,20,9.7,325,30.1,0
1.4,14,9.6,348,29.8,-0.130526192
1.3,14,8.4,344,29.7,-0.258819045
1.3,14,8.7,343,29.5,-0.382683432
1.3,14,8.6,339,29.4,-0.5
1.3,14,8.9,346,29.3,-0.608761429
1.4,14,9.6,338,29.2,-0.707106781
1.4,14,9.8,347,29.1,-0.79335334
1.3,14,8.9,343,29,-0.866025404
1.3,15,9.1,348,29,-0.923879533
1.3,15,9.4,344,29,-0.965925826
1.3,14,9.1,343,28.9,-0.991444861
1.4,14,9.6,342,28.9,-1
1.3,14,8.8,344,28.9,-0.991444861
1.3,14,8.9,347,28.9,-0.965925826
1.3,14,8.9,346,28.9,-0.923879533
1.2,14,8.3,336,28.9,-0.866025404
1.3,14,8.7,343,28.8,-0.79335334
1.3,15,8.5,333,28.8,-0.707106781
1.3,15,8,343,28.9,-0.608761429
1.4,14,8.5,357,28.9,-0.5
1.2,14,7.8,339,28.9,-0.382683432
1.3,15,8,342,28.8,-0.258819045
1.5,14,8.9,350,28.8,-0.130526192
1.3,15,8.2,337,28.8,1.22E-16
1.3,14,8.1,348,28.8,0.130526192
1.4,15,8.2,354,28.7,0.258819045
1.3,15,7.9,349,28.7,0.382683432
1.6,15,8.6,347,28.7,0.5
1.4,14,8.3,348,28.7,0.608761429
1.5,15,8.3,346,28.7,0.707106781
1.4,13,7.9,349,28.7,0.79335334
1.4,15,8.2,350,28.7,0.866025404
1.5,15,8.4,349,28.8,0.923879533
1.4,15,8.1,356,28.7,0.965925826
1.6,15,8.6,351,28.7,0.991444861
1.4,15,8.3,348,28.7,1
1.4,14,8.1,348,28.5,0.991444861
1.5,14,8,348,28.8,0.965925826
1.5,15,7.5,344,28.8,0.923879533
1.5,14,7.9,344,28.8,0.866025404
1.4,13,7.3,340,28.8,0.79335334
1.5,14,7.7,340,28.8,0.707106781
1.4,14,7.1,348,28.7,0.608761429
1.5,15,7.8,354,28.6,0.5
1.5,14,7.3,342,28.5,0.382683432
1.5,14,7.8,339,28.4,0.258819045
1.5,13,8.2,349,28.4,0.130526192
1.6,14,8.4,340,28.3,0
1.5,15,9,345,28.1,-0.382683432
1.5,15,8.9,342,28.2,-0.5
1.5,15,9.4,348,28.3,-0.608761429
1.3,15,8.8,341,27.7,-0.707106781
1.3,15,8.1,342,28,-0.79335334
1.5,15,9.1,338,28.7,-0.866025404
1.4,15,8.8,339,28.6,-0.923879533
1.6,15,9.6,341,28.7,-0.965925826
1.4,15,8.7,346,28.8,-0.991444861
1.4,15,9.2,344,28.8,-1
1.4,15,8.9,342,28.8,-0.991444861
1.3,15,8.5,346,28.8,-0.965925826
1.4,15,8.4,332,28.8,-0.923879533
1.3,15,8.1,344,28.9,-0.866025404
1.5,15,8.7,341,28.9,-0.79335334
1.5,15,8.6,340,29,-0.707106781
1.3,15,8.2,338,29,-0.608761429
1.4,17,8.6,337,29,-0.5
1.3,17,8.3,344,29,-0.382683432
1.3,15,8,333,29,-0.258819045
1.4,15,8.6,340,29,-0.130526192
1.6,15,8.9,334,29,1.22E-16
1.5,15,8.5,343,29,0.130526192
1.4,15,8.5,334,29,0.258819045
1.4,15,8,338,29,0.382683432
1.4,17,8,329,29,0.5
1.4,15,8,332,29,0.608761429
1.4,15,7.8,335,29,0.707106781
1.4,15,8.2,340,29,0.79335334
1.4,17,8.3,333,29,0.866025404
1.4,17,7.4,336,29,0.923879533
1.3,15,6.9,338,29,0.965925826
1.5,17,7.2,330,29,0.991444861
1.5,17,6.9,341,29,1
1.4,17,6.5,338,29,0.991444861
1.4,17,6.6,336,29,0.965925826
1.5,17,6.9,336,29,0.923879533
1.4,17,6.7,339,29.1,0.866025404
1.4,17,6.9,337,29,0.79335334
1.4,17,6.9,339,29,0.707106781
1.4,17,6.9,342,29,0.608761429
1.4,17,6.4,343,29.1,0.5
1.4,17,6.1,348,29,0.382683432
1.6,9,6.5,30,29.1,0.258819045
1.5,17,5.9,333,29,0.130526192
1.5,17,6.1,343,29,0
1.5,17,6.5,338,29,-0.130526192
1.4,17,6.3,340,29,-0.258819045
1.5,9,6.6,50,29,-0.382683432
1.5,17,6.5,333,29,-0.5
1.5,17,6.7,334,29,-0.608761429
1.4,10,6.2,11,29,-0.707106781
1.6,8,6.5,42,29,-0.79335334
1.5,10,6.6,14,29,-0.866025404
1.5,17,6.5,347,29,-0.923879533
1.5,9,6.4,36,29,-0.965925826
1.5,17,6.3,327,29,-0.991444861
1.5,10,6.4,53,29,-1
1.5,9,6.4,46,29,-0.991444861
1.5,10,6.8,43,29,-0.965925826
1.5,10,6.8,30,29,-0.923879533
1.4,10,6.7,47,29,-0.866025404
1.4,9,6.6,44,28.9,-0.79335334
1.5,10,7.1,41,28.9,-0.707106781
1.4,10,6.7,47,28.9,-0.608761429
1.4,9,6.5,51,28.9,-0.5
1.4,8,6.8,41,28.8,-0.382683432
1.3,10,6.6,39,28.8,-0.258819045
1.4,9,6.7,34,28.7,-0.130526192
1.5,10,6.9,31,28.7,1.22E-16
1.5,10,6.8,18,28.7,0.130526192
1.6,9,7,33,28.7,0.258819045
1.5,8,6.7,37,28.7,0.382683432
1.5,9,6.8,35,28.7,0.5
1.5,7,6.7,29,28.8,0.608761429
1.5,9,7,20,28.7,0.707106781
1.4,9,6.8,41,28.7,0.79335334
1.6,10,7,2,28.6,0.866025404
1.5,10,7,52,28.7,0.923879533
1.5,10,7,51,28.7,0.965925826
1.5,7,7.1,26,28.8,0.991444861
1.4,10,6.8,16,28.8,1
1.4,10,6.7,310,28.9,0.991444861
1.4,8,6.7,19,28.9,0.965925826
1.4,10,6.9,35,28.9,0.923879533
1.3,10,6.8,16,28.9,0.866025404
1.5,12,7.4,225,29,0.79335334
1.4,12,7.2,198,29.1,0.707106781
1.3,11,6.6,298,29.1,0.608761429
1.3,13,6.6,220,29.1,0.5
1.3,12,6.5,231,29.1,0.382683432
1.3,9,6.3,28,29.2,0.258819045
1.4,13,6.5,206,29.1,0.130526192
1.3,13,6.4,220,29.1,0
1.3,12,6.2,251,29,-0.130526192
1.2,13,6.2,219,28.9,-0.258819045
1.3,13,6.5,259,28.8,-0.382683432
1.3,11,7.1,8,28.8,-0.5
1.3,13,7.2,179,28.8,-0.608761429
1.2,13,7.2,193,28.6,-0.707106781
1.2,13,7.4,212,28.3,-0.79335334
1.2,13,7.1,201,28,-0.866025404
1.4,13,7.8,210,28.2,-0.923879533
1.2,13,7.3,224,27.7,-0.965925826
