#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 04 14 27 999 99.0 99.0  0.61  3.03  3.31 324 9999.0 999.0  10.4 999.0 99.0 99.00
2010 01 04 14 57 999 99.0 99.0  0.54  2.94  3.35 327 9999.0 999.0  10.4 999.0 99.0 99.00
2010 01 04 15 27 999 99.0 99.0  0.58  2.78  3.49 331 9999.0 999.0  10.4 999.0 99.0 99.00
2010 01 04 15 57 999 99.0 99.0  0.57  2.70  3.34 330 9999.0 999.0  10.4 999.0 99.0 99.00
2010 01 04 16 27 999 99.0 99.0  0.52  9.88  3.56  96 9999.0 999.0  10.4 999.0 99.0 99.00
2010 01 04 16 57 999 99.0 99.0  0.48 11.11  3.58  94 9999.0 999.0  10.4 999.0 99.0 99.00
2010 01 04 17 27 999 99.0 99.0  0.43 11.76  3.80  98 9999.0 999.0  10.4 999.0 99.0 99.00
2010 01 04 17 57 999 99.0 99.0  0.41  9.88  3.81  92 9999.0 999.0  10.3 999.0 99.0 99.00
2010 01 04 18 27 999 99.0 99.0  0.41 15.38  3.73 101 9999.0 999.0  10.3 999.0 99.0 99.00
2010 01 04 18 57 999 99.0 99.0  0.40 11.76  3.33 102 9999.0 999.0  10.2 999.0 99.0 99.00
2010 01 04 19 27 999 99.0 99.0  0.41 10.53  3.41  99 9999.0 999.0  10.2 999.0 99.0 99.00
2010 01 04 19 57 999 99.0 99.0  0.41 11.76  3.57 105 9999.0 999.0  10.1 999.0 99.0 99.00
2010 01 04 23 57 999 99.0 99.0  0.49 14.29  3.40 111 9999.0 999.0   9.8 999.0 99.0 99.00
2010 01 05 00 27 999 99.0 99.0  0.48 16.67  3.26  88 9999.0 999.0   9.8 999.0 99.0 99.00
2010 01 05 00 57 999 99.0 99.0  0.47  9.88  3.52  91 9999.0 999.0   9.5 999.0 99.0 99.00
2010 01 05 01 27 999 99.0 99.0  0.45 10.53  3.27 102 9999.0 999.0   9.5 999.0 99.0 99.00
2010 01 05 01 57 999 99.0 99.0  0.45 16.67  3.23 102 9999.0 999.0   9.6 999.0 99.0 99.00
2010 01 05 02 27 999 99.0 99.0  0.47 16.67  3.19  95 9999.0 999.0   9.5 999.0 99.0 99.00
2010 01 05 02 57 999 99.0 99.0  0.48 14.29  3.09 108 9999.0 999.0   9.5 999.0 99.0 99.00
2010 01 05 03 27 999 99.0 99.0  0.51 15.38  3.18  98 9999.0 999.0   9.6 999.0 99.0 99.00
2010 01 05 03 57 999 99.0 99.0  0.49 16.67  3.09 105 9999.0 999.0   9.5 999.0 99.0 99.00
2010 01 05 04 27 999 99.0 99.0  0.49 15.38  3.27  85 9999.0 999.0   9.5 999.0 99.0 99.00
2010 01 05 04 57 999 99.0 99.0  0.51 16.67  3.13  98 9999.0 999.0   9.5 999.0 99.0 99.00
2010 01 05 05 27 999 99.0 99.0 99.00 99.00 99.00 303 9999.0 999.0   9.5 999.0 99.0 99.00
2010 01 05 05 57 999 99.0 99.0  0.56  2.44  3.05 316 9999.0 999.0   9.5 999.0 99.0 99.00
2010 01 05 06 27 999 99.0 99.0  0.58  2.70  3.10 323 9999.0 999.0   9.5 999.0 99.0 99.00
2010 01 05 06 57 999 99.0 99.0  0.54  2.70  3.10 329 9999.0 999.0   9.5 999.0 99.0 99.00
2010 01 05 07 27 999 99.0 99.0  0.54  2.56  3.16 326 9999.0 999.0   9.4 999.0 99.0 99.00
2010 01 05 07 57 999 99.0 99.0  0.54  2.63  3.08 336 9999.0 999.0   9.5 999.0 99.0 99.00
