#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 02 19 06 999 99.0 99.0  0.60  8.33  4.22 134 9999.0 999.0  18.3 999.0 99.0 99.00
2016 01 02 19 36 999 99.0 99.0  0.59  8.33  4.36 127 9999.0 999.0  18.3 999.0 99.0 99.00
2016 01 02 20 06 999 99.0 99.0  0.54  8.33  4.59 133 9999.0 999.0  18.3 999.0 99.0 99.00
2016 01 02 20 36 999 99.0 99.0  0.51  8.33  4.69 129 9999.0 999.0  18.3 999.0 99.0 99.00
2016 01 02 21 06 999 99.0 99.0  0.48  8.33  4.73 133 9999.0 999.0  18.3 999.0 99.0 99.00
2016 01 02 21 36 999 99.0 99.0  0.51  8.33  5.29 127 9999.0 999.0  18.3 999.0 99.0 99.00
2016 01 02 22 06 999 99.0 99.0  0.49  8.33  5.39 129 9999.0 999.0  18.3 999.0 99.0 99.00
2016 01 02 22 36 999 99.0 99.0  0.45  8.33  5.64 139 9999.0 999.0  18.3 999.0 99.0 99.00
2016 01 02 23 06 999 99.0 99.0  0.45  8.33  5.57 127 9999.0 999.0  18.2 999.0 99.0 99.00
2016 01 02 23 36 999 99.0 99.0  0.46  8.33  6.16 127 9999.0 999.0  18.2 999.0 99.0 99.00
2016 01 03 00 06 999 99.0 99.0  0.46  8.33  6.32 129 9999.0 999.0  18.2 999.0 99.0 99.00
2016 01 03 00 36 999 99.0 99.0  0.43  8.33  6.39 133 9999.0 999.0  18.2 999.0 99.0 99.00
2016 01 03 01 06 999 99.0 99.0  0.42  8.33  6.31 130 9999.0 999.0  18.2 999.0 99.0 99.00
2016 01 03 01 36 999 99.0 99.0  0.43  9.09  6.43 123 9999.0 999.0  18.2 999.0 99.0 99.00
2016 01 03 02 06 999 99.0 99.0  0.45  8.33  5.48 125 9999.0 999.0  18.2 999.0 99.0 99.00
2016 01 03 02 36 999 99.0 99.0  0.46  8.33  5.27 129 9999.0 999.0  18.2 999.0 99.0 99.00
2016 01 03 03 36 999 99.0 99.0  0.45  8.33  4.88 132 9999.0 999.0  18.2 999.0 99.0 99.00
2016 01 03 04 06 999 99.0 99.0  0.49  7.69  4.94 126 9999.0 999.0  18.2 999.0 99.0 99.00
2016 01 03 04 36 999 99.0 99.0  0.49  8.33  4.55 136 9999.0 999.0  18.2 999.0 99.0 99.00
2016 01 03 05 06 999 99.0 99.0  0.51  8.33  4.97 133 9999.0 999.0  18.2 999.0 99.0 99.00
2016 01 03 05 36 999 99.0 99.0  0.53  8.33  4.73 133 9999.0 999.0  18.2 999.0 99.0 99.00
2016 01 03 06 06 999 99.0 99.0  0.56  9.09  4.74 129 9999.0 999.0  18.2 999.0 99.0 99.00
2016 01 03 06 36 999 99.0 99.0  0.56  8.33  4.74 127 9999.0 999.0  18.2 999.0 99.0 99.00
2016 01 03 07 06 999 99.0 99.0  0.52  9.09  4.95 136 9999.0 999.0  18.2 999.0 99.0 99.00
2016 01 03 07 36 999 99.0 99.0  0.52  8.33  4.99 136 9999.0 999.0  18.1 999.0 99.0 99.00
2016 01 03 08 06 999 99.0 99.0  0.51  9.09  5.42 130 9999.0 999.0  18.1 999.0 99.0 99.00
2016 01 03 08 36 999 99.0 99.0  0.48  9.09  5.28 123 9999.0 999.0  18.1 999.0 99.0 99.00
2016 01 03 09 06 999 99.0 99.0  0.57  8.33  5.28 132 9999.0 999.0  18.1 999.0 99.0 99.00
2016 01 03 09 36 999 99.0 99.0  0.54  9.09  4.53 133 9999.0 999.0  18.1 999.0 99.0 99.00
2016 01 03 10 06 999 99.0 99.0  0.55  9.09  4.81 133 9999.0 999.0  18.1 999.0 99.0 99.00
2016 01 03 10 36 999 99.0 99.0  0.53  8.33  4.82 126 9999.0 999.0  18.1 999.0 99.0 99.00
2016 01 03 11 06 999 99.0 99.0  0.53  8.33  5.15 125 9999.0 999.0  18.1 999.0 99.0 99.00
2016 01 03 11 36 999 99.0 99.0  0.54  8.33  5.13 125 9999.0 999.0  18.1 999.0 99.0 99.00
2016 01 03 12 06 999 99.0 99.0  0.53  9.09  5.33 132 9999.0 999.0  18.0 999.0 99.0 99.00
2016 01 03 12 36 999 99.0 99.0  0.50  8.33  5.02 129 9999.0 999.0  18.1 999.0 99.0 99.00
2016 01 03 13 06 999 99.0 99.0  0.56  9.09  5.31 134 9999.0 999.0  18.0 999.0 99.0 99.00
2016 01 03 13 36 999 99.0 99.0  0.58  8.33  5.32 134 9999.0 999.0  18.0 999.0 99.0 99.00
2016 01 03 14 06 999 99.0 99.0  0.55  8.33  5.16 132 9999.0 999.0  18.0 999.0 99.0 99.00
2016 01 03 14 36 999 99.0 99.0  0.54  9.09  5.16 132 9999.0 999.0  18.0 999.0 99.0 99.00
2016 01 03 15 06 999 99.0 99.0  0.59  9.09  5.36 133 9999.0 999.0  18.0 999.0 99.0 99.00
2016 01 03 15 36 999 99.0 99.0  0.59  9.09  5.74 132 9999.0 999.0  18.0 999.0 99.0 99.00
2016 01 03 16 06 999 99.0 99.0  0.57  9.09  6.02 127 9999.0 999.0  18.0 999.0 99.0 99.00
2016 01 03 16 36 999 99.0 99.0  0.56  9.09  6.47 133 9999.0 999.0  18.0 999.0 99.0 99.00
2016 01 03 17 06 999 99.0 99.0  0.56  9.09  7.13 129 9999.0 999.0  18.0 999.0 99.0 99.00
2016 01 03 17 36 999 99.0 99.0  0.51  8.33  6.96 134 9999.0 999.0  18.0 999.0 99.0 99.00
2016 01 03 18 06 999 99.0 99.0  0.55  9.88  6.19 134 9999.0 999.0  18.0 999.0 99.0 99.00
2016 01 03 18 36 999 99.0 99.0  0.63  9.09  5.96 127 9999.0 999.0  18.0 999.0 99.0 99.00
2016 01 03 19 06 999 99.0 99.0  0.58  9.88  5.91 127 9999.0 999.0  17.9 999.0 99.0 99.00
2016 01 03 19 36 999 99.0 99.0  0.59  9.09  6.01 132 9999.0 999.0  17.9 999.0 99.0 99.00
2016 01 03 20 06 999 99.0 99.0  0.54  9.88  5.66 132 9999.0 999.0  17.9 999.0 99.0 99.00
2016 01 03 21 06 999 99.0 99.0  0.56  9.09  6.53 137 9999.0 999.0  17.9 999.0 99.0 99.00
2016 01 03 21 36 999 99.0 99.0  0.58  9.88  6.95 133 9999.0 999.0  17.9 999.0 99.0 99.00
2016 01 03 22 06 999 99.0 99.0  0.53  9.88  6.62 141 9999.0 999.0  17.8 999.0 99.0 99.00
2016 01 03 22 36 999 99.0 99.0  0.59  9.09  6.64 130 9999.0 999.0  17.8 999.0 99.0 99.00
2016 01 03 23 06 999 99.0 99.0  0.54  9.09  6.07 136 9999.0 999.0  17.8 999.0 99.0 99.00
2016 01 03 23 36 999 99.0 99.0  0.57  9.09  5.87 134 9999.0 999.0  17.8 999.0 99.0 99.00
2016 01 04 00 06 999 99.0 99.0  0.61  9.09  5.38 125 9999.0 999.0  17.8 999.0 99.0 99.00
2016 01 04 00 36 999 99.0 99.0  0.58  9.88  5.05 137 9999.0 999.0  17.8 999.0 99.0 99.00
2016 01 04 01 06 999 99.0 99.0  0.55  9.09  4.79 133 9999.0 999.0  17.8 999.0 99.0 99.00
2016 01 04 01 36 999 99.0 99.0  0.64  9.88  5.07 137 9999.0 999.0  17.8 999.0 99.0 99.00
