#YY  MM DD hh mm WVHT SwH SwP WWH WWP SwD WWD STEEPNESS APD MWD
2025 12 07 13 30  1.9  1.7 12.5  0.9  9.5 WSW  SW      SWELL  9.6 248
2025 12 07 13 00  2.1  1.9 13.3  0.8  9.5 SSW WSW      SWELL 10.0 213
2025 12 07 12 30  2.1  1.9 13.3  0.9  8.7  SW   N      SWELL  9.9 233
2025 12 07 12 00  2.0  1.8 13.3  0.9  9.5  SW  SW      SWELL  9.9 219
2025 12 07 11 30  2.5  2.3 13.3  0.8  9.1  SW  NE      SWELL 10.9 216
2025 12 07 11 00  2.4  2.2 14.3  0.9  9.1 SSW  SW      SWELL 10.8 216
2025 12 07 10 30  2.1  1.9 13.3  0.8  9.5 SSW  SW      SWELL 10.2 198
2025 12 07 10 00  2.0  1.9 14.3  0.8  9.5  SW  SW      SWELL 10.1 214
2025 12 07 09 30  2.2  2.0 14.3  0.9  9.5  SW  SW      SWELL 10.5 229
2025 12 07 09 00  2.0  1.9 14.3  0.8  9.5  SW  SW      SWELL 10.3 219
2025 12 07 08 30  2.2  2.0 14.3  0.8  9.1  SW NNW      SWELL 10.7 227
2025 12 07 08 00  2.3  2.1 14.3  0.8  9.1  SW SSE      SWELL 10.9 233
2025 12 07 07 30  2.2  2.0 14.3  0.9  9.5  SW  SW      SWELL 10.5 217
2025 12 07 07 00  2.0  1.8 14.3  0.8  9.5  SW SSW      SWELL 10.3 219
2025 12 07 06 30  2.1  2.0 14.3  0.8  9.1  SW   W      SWELL 10.6 227
2025 12 07 06 00  2.0  1.9 14.3  0.8  9.1  SW NNE      SWELL 10.5 220
2025 12 07 05 30  2.2  2.1 13.3  0.8  8.7  SW NNE      SWELL 11.0 223
2025 12 07 05 00  2.1  1.9 14.3  0.8  9.5  SW WSW      SWELL 10.7 226
2025 12 07 04 30  2.1  2.0 14.3  0.7  9.1  SW   N      SWELL 11.3 235
2025 12 07 04 00  2.1  1.9 14.3  0.8  9.5  SW   W      SWELL 11.2 217
2025 12 07 03 30  1.8  1.6 14.3  0.8  9.5  SW  NW      SWELL 10.4 227
2025 12 07 03 00  1.9  1.7 14.3  0.8  9.1  SW   N      SWELL 10.6 220
2025 12 07 02 30  1.7  1.5 14.3  0.8  9.1  SW   N      SWELL  9.8 225
2025 12 07 02 00  1.9  1.7 14.3  0.8  9.5  SW  NW      SWELL 10.2 215
2025 12 07 01 30  1.8  1.6 14.3  0.8  9.5  SW   W      SWELL 10.0 229
2025 12 07 01 00  1.5  1.3 12.5  0.7  9.1 WSW   N      SWELL  9.4 239
