YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP
2018,1,6,15,59,0.8,4.17,3.5,60,8.6
2018,1,6,16,29,0.75,4.35,3.5,63,8.6
2018,1,6,16,59,0.69,4.17,3.7,61,8.6
2018,1,6,17,29,0.6,4.17,3.63,59,8.6
2018,1,6,17,59,0.59,4.17,3.59,61,8.5
2018,1,6,18,29,0.54,4,3.47,63,8.5
2018,1,6,18,59,0.56,3.85,3.29,63,8.5
2018,1,6,19,29,0.58,4.55,3.43,74,8.5
2018,1,6,19,59,0.55,10.53,3.35,106,8.5
2018,1,6,20,29,0.56,4.35,3.3,73,8.5
2018,1,6,20,59,0.52,11.11,3.31,111,8.5
2018,1,6,21,29,0.51,2.56,3.22,15,8.5
2018,1,6,21,59,0.5,2.56,3.17,8,8.6
2018,1,6,22,29,0.51,2.7,3.09,21,8.6
2018,1,6,22,59,0.52,3.03,3.18,42,8.6
2018,1,6,23,29,0.52,2.86,3.1,36,8.6
2018,1,6,23,59,0.51,2.94,3.11,30,8.6
2018,1,7,0,29,0.53,3.12,3.13,36,8.6
2018,1,7,0,59,0.54,3.12,3.19,37,8.6
2018,1,7,1,29,0.56,3.23,3.11,43,8.5
2018,1,7,1,59,0.56,2.94,2.99,33,8.5
2018,1,7,2,29,0.55,2.86,3.05,25,8.5
2018,1,7,2,59,0.56,3.33,3.12,49,8.5
2018,1,7,3,29,0.62,3.23,3.11,42,8.5
2018,1,7,3,59,0.66,3.23,3.16,42,8.5
2018,1,7,4,29,0.69,3.45,3.21,43,8.4
2018,1,7,4,59,0.82,3.45,3.26,36,8.4
2018,1,7,5,29,0.95,3.7,3.4,40,8.3
2018,1,7,5,59,1.09,4.35,3.59,50,8.3
2018,1,7,6,29,1.19,4.35,3.68,44,8.2
2018,1,7,6,59,1.14,4.35,3.66,43,8.2
2018,1,7,7,29,1.13,4.35,3.71,46,8.2
2018,1,7,7,59,1.13,4.55,3.69,47,8.1
2018,1,7,8,29,1.13,4.76,3.69,56,8.1
2018,1,7,8,59,1.18,4.76,3.78,53,8.1
2018,1,7,9,29,1.2,4.76,3.78,54,8
2018,1,7,9,59,1.21,4.76,3.9,51,8
2018,1,7,10,29,1.16,5,3.94,59,8
2018,1,7,10,59,1.3,5,4,60,8
2018,1,7,11,29,1.23,5,4.01,59,7.9
2018,1,7,11,59,1.34,4.76,4.09,56,8
2018,1,7,12,29,1.39,5.56,4.3,66,7.9
2018,1,7,12,59,1.35,5.56,4.28,61,7.8
2018,1,7,13,29,1.39,5.56,4.26,60,7.8
2018,1,7,13,59,1.43,5.88,4.42,63,7.8
2018,1,7,14,29,1.38,5.56,4.36,61,7.8
2018,1,7,14,59,1.44,5.88,4.4,68,7.8
2018,1,7,15,29,1.41,5.88,4.43,64,7.8
2018,1,7,15,59,1.31,5.88,4.45,68,7.8
2018,1,7,16,29,1.19,5.26,4.35,63,7.8
2018,1,7,16,59,1.2,5.88,4.56,71,7.8
2018,1,7,17,29,1.1,5.56,4.55,67,7.9
2018,1,7,17,59,1.09,5.56,4.72,73,7.9
2018,1,7,18,29,0.96,5.26,4.6,67,7.9
2018,1,7,18,59,0.9,5.26,4.75,68,7.8
2018,1,7,19,29,0.89,5.56,4.85,77,7.8
2018,1,7,19,59,0.84,5.56,4.79,75,7.8
2018,1,7,20,29,0.83,5.56,4.86,75,7.7
2018,1,7,20,59,0.77,5.56,4.79,80,7.7
2018,1,7,21,29,0.73,5,4.77,77,7.7
2018,1,7,21,59,0.7,9.88,4.75,88,7.7
2018,1,7,22,29,0.7,10.53,5.01,105,7.6
2018,1,7,22,59,0.7,9.09,4.96,95,7.6
2018,1,7,23,29,0.66,9.88,4.79,104,7.6
2018,1,7,23,59,0.68,9.88,5.02,101,7.7
2018,1,8,0,29,0.62,9.09,4.72,104,7.6
2018,1,8,0,59,0.63,9.09,4.63,92,7.7
2018,1,8,1,29,0.61,9.09,4.78,96,7.7
2018,1,8,1,59,0.64,8.33,4.93,96,7.7
2018,1,8,2,29,0.62,9.88,4.91,102,7.7
2018,1,8,2,59,0.65,9.09,5.16,101,7.7
2018,1,8,3,29,0.59,9.88,4.79,106,7.7
2018,1,8,3,59,0.6,9.88,4.82,101,7.7
2018,1,8,4,29,0.59,10.53,4.69,111,7.7
2018,1,8,4,59,0.62,9.88,4.81,105,7.7
2018,1,8,5,29,0.62,9.88,4.92,99,7.7
2018,1,8,5,59,0.57,9.09,4.86,99,7.7
2018,1,8,6,29,0.56,10.53,5.18,112,7.7
2018,1,8,6,59,0.56,9.88,4.75,115,7.7
2018,1,8,7,29,0.59,9.88,4.63,113,7.7
2018,1,8,7,59,0.56,9.88,4.3,106,7.6
2018,1,8,8,29,0.57,9.09,4.27,108,7.6
2018,1,8,8,59,0.59,10.53,4.38,129,7.6
2018,1,8,9,29,0.58,9.88,4.1,104,7.6
2018,1,8,9,59,0.59,9.09,4.11,106,7.5
2018,1,8,10,29,0.6,9.09,4.03,112,7.5
2018,1,8,10,59,0.63,9.88,4.03,123,7.5
2018,1,8,11,29,0.61,9.88,3.96,119,7.5
2018,1,8,11,59,0.61,9.09,3.93,116,7.5
2018,1,8,12,29,0.59,10.53,4.08,137,7.5
2018,1,8,12,59,0.62,9.88,4.08,115,7.5
2018,1,8,13,29,0.64,9.09,4.04,112,7.5
2018,1,8,13,59,0.6,9.88,3.97,111,7.5
2018,1,8,14,29,0.63,9.09,4.01,119,7.5
2018,1,8,14,59,0.63,9.09,3.81,115,7.6
2018,1,8,15,29,0.65,9.88,4.07,123,7.6
2018,1,8,15,59,0.62,9.09,3.96,120,7.6
2018,1,8,16,29,0.63,9.09,4.08,119,7.6
2018,1,8,16,59,0.67,9.88,4.43,120,7.6
