#YY,MM,DD,hh,mm,WVHT,DPD,APD,MWD,WTMP,SwH,SwP,WWH,WWP,SwD,WWD
2025,11,28,12,26,0.7,3,2.9,28,16.2,0.1,10.5,0.8,3.7,E,NNE
2025,11,28,11,56,0.6,3,2.9,28,16.3,0.1,10.5,0.8,3.5,ESE,NNE
2025,11,28,11,26,0.6,3,2.9,25,16.3,0.1,10.5,0.7,3.3,SE,NNE
2025,11,28,10,56,0.6,3,2.9,11,16.3,0.1,10.5,0.6,3.1,ESE,NNE
2025,11,28,10,26,0.6,3,2.9,14,16.3,0.1,10.5,0.6,3.1,E,NNE
2025,11,28,9,56,0.5,3,2.9,4,16.3,0.1,10.5,0.6,2.9,ESE,N
2025,11,28,9,26,0.6,3,2.8,357,16.4,0.1,11.1,0.6,3.1,ESE,NNE
2025,11,28,8,56,0.6,3,2.8,339,16.4,0.1,11.1,0.5,3.1,ESE,N
2025,11,28,8,26,0.6,3,2.8,342,16.4,0.1,11.1,0.6,2.9,E,N
2025,11,28,7,56,0.6,3,2.7,342,16.4,0.1,10.5,0.6,2.9,ESE,NNW
2025,11,28,7,26,0.5,2,2.8,356,16.4,0.1,10.5,0.6,2.8,ESE,NNW
2025,11,28,6,56,0.5,3,2.9,20,16.4,0.1,10.5,0.5,2.6,ESE,NNW
2025,11,28,6,26,0.5,3,3,17,16.5,0.1,10.5,0.5,2.4,ESE,N
2025,11,28,5,56,0.6,3,3,13,16.5,0.1,10.5,0.5,2.9,ESE,NNE
2025,11,28,5,26,0.6,3,3,14,16.5,0.1,10.5,0.5,2.9,E,NNE
2025,11,28,4,56,0.7,3,3,7,16.5,0.1,11.1,0.6,3.1,ESE,NNE
2025,11,28,4,26,0.6,3,3,358,16.5,0.1,10.5,0.6,3.2,SE,NNE
2025,11,28,3,56,0.7,3,3,358,16.5,0.1,10.5,0.7,3.5,SE,N
2025,11,28,3,26,0.6,3,3.1,354,16.6,0.1,10.5,0.6,3.1,ESE,N
2025,11,28,2,56,0.6,3,3.1,344,16.6,0.1,11.1,0.6,3,ESE,N
2025,11,28,2,26,0.6,3,3.1,339,16.6,0.1,10.5,0.6,2.8,ESE,N
2025,11,28,1,56,0.6,3,3,340,16.6,0.1,10.5,0.6,3,SE,NNW
2025,11,28,1,26,0.6,3,3.1,333,16.6,0.1,10.5,0.6,2.9,ESE,NNW
2025,11,28,0,56,0.6,3,3.1,342,16.6,0.1,10.5,0.6,2.7,ESE,NNW
2025,11,28,0,26,0.6,3,3.1,335,16.6,0.1,10.5,0.6,2.7,ESE,NNW
2025,11,27,23,56,0.6,3,3.1,329,16.6,0.1,10.5,0.6,2.9,ESE,NNW
2025,11,27,23,26,0.6,3,3.2,337,16.6,0.1,10.5,0.6,2.7,ESE,NNW
2025,11,27,22,56,0.6,3,3.1,342,16.6,0.1,10.5,0.6,2.6,ESE,NNW
2025,11,27,22,26,0.6,3,3.1,326,16.7,0.1,10.5,0.6,2.7,ESE,NNW
2025,11,27,21,56,0.6,3,3.2,336,16.7,0.1,10.5,0.6,2.9,SE,NNW
2025,11,27,21,26,0.6,2,3.2,320,16.7,0.1,10.5,0.6,2.6,ESE,NW
2025,11,27,20,56,0.6,2,3.4,332,16.7,0.1,10.5,0.6,2.6,E,NNW
2025,11,27,20,26,0.6,2,3.4,330,16.7,0.1,10.5,0.6,2.3,ESE,NW
2025,11,27,19,56,0.6,11,3.6,111,16.7,0.1,11.1,0.6,2.4,ESE,NNW
2025,11,27,19,26,0.6,4,3.6,52,16.7,0.1,11.1,0.6,2.3,ESE,NNW
2025,11,27,18,56,0.6,7,3.6,125,16.7,0.1,10.5,0.5,6.7,ESE,ESE
2025,11,27,18,26,0.6,4,3.7,49,16.7,0.1,11.1,0.6,3.7,ESE,NE
2025,11,27,17,56,0.6,4,3.6,49,16.7,0.1,10.5,0.6,6.7,ESE,SE
2025,11,27,17,26,0.7,4,3.5,53,16.7,0.1,11.1,0.6,3.6,ESE,NE
2025,11,27,16,56,0.7,3,3.4,45,16.7,0.1,10.5,0.6,3.7,ESE,NE
2025,11,27,16,26,0.7,4,3.4,41,16.7,0.1,11.1,0.7,4,ESE,NE
2025,11,27,15,56,0.7,4,3.4,38,16.7,0.1,11.1,0.7,3.3,ESE,NE
2025,11,27,15,26,0.7,4,3.4,35,16.7,0.1,11.1,0.7,3.7,E,NE
2025,11,27,14,56,0.8,4,3.4,31,16.7,0.1,11.1,0.7,3.9,ESE,NE
2025,11,27,14,26,0.8,4,3.3,31,16.7,0.1,11.1,0.7,3.7,E,NE
2025,11,27,13,56,0.7,3,3.4,25,16.7,0.1,10.5,0.8,3.6,SE,NNE
2025,11,27,13,26,0.8,4,3.3,27,16.7,0.1,11.8,0.8,3.6,ESE,NNE
2025,11,27,12,56,0.7,3,3.3,8,16.7,0.1,11.1,0.7,3.3,ESE,NNE
2025,11,27,12,26,0.7,3,3.3,10,16.6,0.1,10.5,0.8,3.6,E,NNE
2025,11,27,11,56,0.7,3,3.4,3,16.7,0.1,11.8,0.7,2.9,ESE,N
2025,11,27,11,26,0.7,6,3.6,164,16.6,0.1,11.1,0.7,3.2,ESE,N
2025,11,27,10,56,0.7,6,3.6,166,16.6,0.1,11.1,0.7,3,E,N
2025,11,27,10,26,0.7,6,3.8,169,16.7,0.1,10.5,0.7,6.2,ESE,SSE
2025,11,27,9,56,0.7,6,4,174,16.7,0.1,11.8,0.7,5.9,E,SSE
2025,11,27,9,26,0.7,7,4.2,169,16.7,0.1,10.5,0.7,6.2,ESE,S
2025,11,27,8,56,0.8,7,4.3,166,16.7,0.1,11.1,0.7,6.2,ESE,S
2025,11,27,8,26,0.8,6,4.5,169,16.7,0.1,11.1,0.7,6.7,ESE,S
