#YY  MM DD hh mm WVHT  SwH  SwP  WWH  WWP SwD WWD  STEEPNESS  APD MWD
#yr  mo dy hr mn    m    m  sec    m  sec  -  degT     -      sec degT
2025 11 30 07 26  1.1  0.1 11.1  1.1  5.3   E ENE VERY_STEEP  4.0  77
2025 11 30 06 56  1.0  0.1 10.5  1.0  4.8   E   E VERY_STEEP  3.9  80
2025 11 30 06 26  1.0  0.1 10.5  1.0  5.3   E   E VERY_STEEP  3.9  80
2025 11 30 05 56  1.0  0.1 10.5  1.0  4.8 SSE   E VERY_STEEP  4.0  83
2025 11 30 05 26  0.9  0.1 10.5  0.9  4.3   E   E VERY_STEEP  3.8  80
2025 11 30 04 56  0.9  0.1 10.5  0.9  4.5   E   E VERY_STEEP  3.8  79
2025 11 30 04 26  0.9  0.1 11.1  0.9  5.0   E   E VERY_STEEP  3.8  83
2025 11 30 03 56  0.9  0.1 10.5  0.9  4.8   E   E VERY_STEEP  3.7  80
2025 11 30 02 26  0.8  0.1 11.1  0.8  4.2  SE ENE VERY_STEEP  3.6  77
2025 11 30 01 56  0.8  0.1 10.5  0.8  3.5 ESE ENE        N/A  3.7  72
2025 11 30 01 26  0.8  0.1 10.5  0.8  4.5  SE   E        N/A  3.5  79
2025 11 30 00 56  0.7  0.1 11.1  0.7  4.5 ESE   E        N/A  3.5  79
2025 11 30 00 26  0.7  0.1 10.5  0.7  4.5 ESE ENE        N/A  3.6  76
2025 11 29 23 56  0.7  0.1 11.8  0.7  4.3  SE ENE        N/A  3.6  73
2025 11 29 23 26  0.8  0.1 10.5  0.8  4.5   E ENE        N/A  3.8  76
2025 11 29 22 56  0.7  0.1 10.5  0.7  5.0  SE ENE        N/A  3.8  77
2025 11 29 22 26  0.7  0.1 10.5  0.7  4.8 ESE ENE        N/A  3.8  74
2025 11 29 21 56  0.8  0.1 10.5  0.8  5.0 ESE   E        N/A  3.9  79
2025 11 29 21 26  0.7  0.1 10.5  0.7  4.8  SE ENE        N/A  3.7  76
2025 11 29 20 26  0.8  0.1 10.5  0.8  4.8  SE ENE VERY_STEEP  3.8  72
2025 11 29 19 56  0.8  0.1 10.5  0.8  4.5   E ENE VERY_STEEP  3.9  67
2025 11 29 19 26  0.9  0.1 10.5  0.8  5.0   E ENE VERY_STEEP  3.9  70
2025 11 29 18 56  0.8  0.1 11.1  0.8  4.5 ESE ENE VERY_STEEP  3.8  63
2025 11 29 18 26  0.9  0.1 11.1  0.9  4.5   E ENE VERY_STEEP  3.8  69
2025 11 29 17 56  0.9  0.1 10.5  0.9  4.3   E ENE VERY_STEEP  3.8  62
2025 11 29 17 26  0.9  0.1 10.5  0.9  4.8   E ENE VERY_STEEP  3.7  69
2025 11 29 16 56  0.9  0.1 10.5  0.9  4.5 ESE ENE VERY_STEEP  3.7  59
2025 11 29 16 26  0.9  0.1 10.5  0.9  4.8   E ENE VERY_STEEP  3.7  63
2025 11 29 15 56  0.9  0.1 11.8  0.9  4.5   E ENE VERY_STEEP  3.7  59
